h3id,population_fraction
862a30887ffffff,185.8126149637207
862a3088fffffff,0.0
862a30897ffffff,2101.75529663772
862a3089fffffff,88.08567611068024
862a308a7ffffff,0.0
862a308b7ffffff,0.0
862a30987ffffff,0.0
862a3098fffffff,0.0
862a30997ffffff,0.0
862a3099fffffff,0.0
862a309a7ffffff,0.0
862a309afffffff,0.0
862a309b7ffffff,0.0
862a30c27ffffff,2743.5190807567774
862a30c2fffffff,1459.1827693128448
862a30c67ffffff,348.9020314896609
862a30d07ffffff,2161.7749898347856
862a30d0fffffff,3794.5642417472022
862a30d17ffffff,2767.6968149372547
862a30d1fffffff,1548.0453460592432
862a30d27ffffff,2074.5698898559804
862a30d2fffffff,2027.757418769455
862a30d37ffffff,1945.1686923313312
862a30d47ffffff,5150.6539599998405
862a30d4fffffff,1636.9038810135992
862a30d57ffffff,4308.631694926695
862a30d5fffffff,2781.250639930454
862a30d67ffffff,3862.3985132648877
862a30d6fffffff,53.65139216078951
862a30d77ffffff,2043.9202820422338
862a30da7ffffff,609.6748065670072
862a34007ffffff,0.0
862a3400fffffff,0.0
862a34017ffffff,749.9008030579132
862a3401fffffff,0.0
862a34027ffffff,70.6500356909225
862a3402fffffff,0.0
862a34037ffffff,505.0303568769489
862a34087ffffff,9555.715689340457
862a3408fffffff,3895.636334499004
862a34097ffffff,51400.58778256453
862a3409fffffff,22715.595274198648
862a340a7ffffff,791.0967230462172
862a340afffffff,185.97820417980356
862a340b7ffffff,5427.242962247389
862a340c7ffffff,0.0
862a340d7ffffff,284.1667701058565
862a340dfffffff,0.0
862a340e7ffffff,0.0
862a340f7ffffff,0.0
862a34107ffffff,914.8891776571506
862a3410fffffff,684.0728321478543
862a34117ffffff,878.9780134590602
862a3411fffffff,935.5058435535482
862a34127ffffff,927.4179233770571
862a3412fffffff,932.8063128534341
862a34137ffffff,1093.8500582688177
862a34147ffffff,0.0
862a34157ffffff,22.32093603892408
862a34167ffffff,0.0
862a34177ffffff,361.84475284798293
862a34187ffffff,2472.7798211003646
862a3418fffffff,1479.6195941576211
862a34197ffffff,6301.800372412665
862a3419fffffff,2656.7727163019226
862a341a7ffffff,2232.010971030302
862a341afffffff,829.7537011590437
862a341b7ffffff,2727.7579650837292
862a34407ffffff,1531.6171637559112
862a3440fffffff,3069.2926713829675
862a34417ffffff,1653.2183349980023
862a3441fffffff,2073.411991521816
862a34427ffffff,3819.1236147262357
862a3442fffffff,3912.5796438283514
862a34437ffffff,1300.9406166437836
862a34447ffffff,6896.275159660121
862a3444fffffff,4233.965822543154
862a34457ffffff,4024.9015780246636
862a3445fffffff,3219.8981545891133
862a34467ffffff,15339.18676740961
862a3446fffffff,11352.015252525316
862a34477ffffff,5324.221859438952
862a34487ffffff,800.0066739739549
862a3448fffffff,1397.4545521377447
862a34497ffffff,628.7571874199523
862a3449fffffff,593.65256435385
862a344a7ffffff,600.599952055493
862a344afffffff,1359.9643441465464
862a344b7ffffff,612.3768950287782
862a344c7ffffff,1983.810479699817
862a344cfffffff,2014.1238610725218
862a344d7ffffff,1621.1765758511299
862a344dfffffff,1922.2188933692983
862a344e7ffffff,2777.452000481199
862a344efffffff,2659.877164974509
862a344f7ffffff,1673.2825547874136
862a34507ffffff,1779.3000066124853
862a3450fffffff,3460.4996435541116
862a34517ffffff,1499.3147797118781
862a3451fffffff,1961.106580334371
862a34527ffffff,1629.498778791934
862a3452fffffff,2779.9730414411633
862a34537ffffff,1479.9208027131162
862a34547ffffff,4254.024505172473
862a3454fffffff,12187.760282071822
862a34557ffffff,5722.691774351861
862a3455fffffff,5937.817921818753
862a34567ffffff,3571.766301669108
862a3456fffffff,3762.0074301846203
862a34577ffffff,3293.719873065974
862a34587ffffff,880.6471058716184
862a3458fffffff,630.3402328440064
862a34597ffffff,605.897636933994
862a3459fffffff,594.5515576367644
862a345a7ffffff,1708.6556547199252
862a345afffffff,1293.0040388290843
862a345b7ffffff,1146.91046546751
862a34607ffffff,2051.0013144844197
862a3460fffffff,245.68954230650084
862a34617ffffff,4497.691811288558
862a3461fffffff,3192.7550530678895
862a34627ffffff,2518.5885864274605
862a3462fffffff,0.0
862a34637ffffff,3521.715334524374
862a34657ffffff,0.0
862a34677ffffff,0.0
862a34687ffffff,2500.8860661214953
862a3468fffffff,2239.0441462426365
862a34697ffffff,6597.363313929053
862a3469fffffff,2243.754276210715
862a346a7ffffff,2578.037324028685
862a346afffffff,4455.4588994435835
862a346b7ffffff,1790.5147938369623
862a346c7ffffff,498.6447516961094
862a346cfffffff,8.23144014626547
862a346d7ffffff,3272.6747437580416
862a346dfffffff,2266.915917228269
862a346e7ffffff,0.0
862a346efffffff,0.0
862a346f7ffffff,2933.3786563827366
862a34707ffffff,2174.906580187031
862a3470fffffff,674.2816810973068
862a34717ffffff,11057.163753130088
862a3471fffffff,6837.543017378417
862a34727ffffff,4855.939003777543
862a3472fffffff,0.0
862a34737ffffff,7695.410047252055
862a34757ffffff,0.0
862a34777ffffff,0.0
862a34787ffffff,2707.505472634899
862a3478fffffff,3228.927076073366
862a34797ffffff,1686.2925846036696
862a3479fffffff,1790.448227269876
862a347a7ffffff,3167.006801258877
862a347afffffff,22968.170311565296
862a347b7ffffff,2243.4413087497855
862a34807ffffff,703.4203014680659
862a3480fffffff,370.01592521456433
862a34817ffffff,983.6757571953698
862a3481fffffff,1222.255240024625
862a34827ffffff,654.1372296381768
862a3482fffffff,464.06299155538886
862a34837ffffff,719.8910612031275
862a34847ffffff,0.0
862a3484fffffff,0.0
862a34857ffffff,0.0
862a3485fffffff,0.0
862a34867ffffff,9.058909097465804
862a3486fffffff,50.12243390227921
862a34877ffffff,0.0
862a34887ffffff,902.204709632819
862a3488fffffff,932.3319295610579
862a34897ffffff,4981.544072178763
862a3489fffffff,3784.437237839102
862a348a7ffffff,1065.4495899980027
862a348afffffff,1235.8380959794054
862a348b7ffffff,840.6545622023674
862a348c7ffffff,455.84362828172436
862a348cfffffff,9.216478814140114
862a348d7ffffff,573.8342478050014
862a348dfffffff,25.195419253730062
862a348e7ffffff,750.8344836885719
862a348efffffff,166.39698687572977
862a348f7ffffff,1832.6294727861994
862a34907ffffff,872.0826658226403
862a3490fffffff,689.7966085102393
862a34917ffffff,1557.4956875449054
862a3491fffffff,999.1301887684833
862a34927ffffff,979.2296368314849
862a3492fffffff,883.7924377366835
862a34937ffffff,1087.7257723376274
862a34947ffffff,385.02907412865557
862a3494fffffff,206.66951689582015
862a34957ffffff,554.6219010716468
862a3495fffffff,185.5511730813361
862a34967ffffff,748.2152410555703
862a3496fffffff,109.81462435777526
862a34977ffffff,787.3496843135025
862a34987ffffff,839.951815026037
862a3498fffffff,763.4013342229365
