h3id,population_fraction
872a34006ffffff,0.0
872a34008ffffff,0.0
872a3400affffff,0.0
872a3400cffffff,0.0
872a3400effffff,0.0
872a34010ffffff,159.74466656474027
872a34011ffffff,65.03986625151703
872a34012ffffff,79.05586069484814
872a34013ffffff,0.0
872a34014ffffff,153.41658205657046
872a34015ffffff,50.65759152556264
872a34016ffffff,250.22399400618116
872a34018ffffff,0.0
872a34019ffffff,0.0
872a3401affffff,0.0
872a3401bffffff,0.0
872a3401cffffff,0.0
872a3401dffffff,0.0
872a3401effffff,0.0
872a34020ffffff,0.0
872a34021ffffff,0.0
872a34022ffffff,0.0
872a34023ffffff,0.0
872a34024ffffff,66.47857228125298
872a34025ffffff,0.0
872a34026ffffff,3.312497196132684
872a34028ffffff,0.0
872a3402affffff,0.0
872a3402bffffff,0.0
872a3402cffffff,0.0
872a3402dffffff,0.0
872a3402effffff,0.0
872a34030ffffff,71.19522914301129
872a34031ffffff,0.0
872a34032ffffff,129.65542420774767
872a34033ffffff,16.27635062006624
872a34034ffffff,136.43659619028782
872a34035ffffff,24.085740213824206
872a34036ffffff,116.26133692065036
872a34080ffffff,234.15531342680057
872a34081ffffff,118.90094197960903
872a34082ffffff,5208.91441084867
872a34083ffffff,3089.072223672161
872a34084ffffff,82.11118608297824
872a34085ffffff,82.030566428167
872a34086ffffff,208.9396188810979
872a34088ffffff,312.76013446657726
872a34089ffffff,0.0
872a3408affffff,1195.2695380611983
872a3408bffffff,789.6047670893967
872a3408cffffff,179.5977016867857
872a3408dffffff,0.0
872a3408effffff,1414.5369823313074
872a34090ffffff,9250.9331450435
872a34091ffffff,16920.811033174494
872a34092ffffff,5424.246474548998
872a34093ffffff,3845.538982720378
872a34094ffffff,5728.624569163934
872a34095ffffff,7729.1213903636835
872a34096ffffff,4195.689252803589
872a34098ffffff,3498.5778668492667
872a34099ffffff,769.9942578537868
872a3409affffff,3052.532010728854
872a3409bffffff,2116.3009664775454
872a3409cffffff,6437.638341322078
872a3409dffffff,1707.9896955960892
872a3409effffff,4098.850966474766
872a340a0ffffff,82.1773015121907
872a340a1ffffff,82.09655279808322
872a340a2ffffff,82.18462894055018
872a340a3ffffff,82.10390083903107
872a340a4ffffff,249.89024393245597
872a340a5ffffff,93.37259548444337
872a340a6ffffff,124.61214673595876
872a340a8ffffff,0.0
872a340a9ffffff,0.0
872a340aaffffff,58.079495410433125
872a340abffffff,0.0
872a340acffffff,43.38518448240478
872a340adffffff,0.0
872a340aeffffff,82.02326054535642
872a340b0ffffff,720.2386225278206
872a340b1ffffff,360.82266222558684
872a340b2ffffff,898.4550776882099
872a340b3ffffff,1220.3204391959925
872a340b4ffffff,675.0636909143321
872a340b5ffffff,525.0708547897422
872a340b6ffffff,862.4713901261001
872a340c6ffffff,0.0
872a340d0ffffff,0.0
872a340d1ffffff,0.0
872a340d2ffffff,0.0
872a340d3ffffff,0.0
872a340d4ffffff,0.0
872a340d5ffffff,0.0
872a340d6ffffff,239.79470734830517
872a340daffffff,0.0
872a340deffffff,0.0
872a340e2ffffff,0.0
872a340e4ffffff,0.0
872a340e6ffffff,0.0
872a340f0ffffff,0.0
872a340f1ffffff,0.0
872a340f2ffffff,0.0
872a340f3ffffff,0.0
872a340f4ffffff,0.0
872a340f5ffffff,0.0
872a340f6ffffff,0.0
872a34100ffffff,142.4468373035721
872a34101ffffff,140.23864458234738
872a34102ffffff,137.2407825736069
872a34103ffffff,76.81082761252569
872a34104ffffff,142.57381546516515
872a34105ffffff,142.43305383119917
872a34106ffffff,138.67548891022182
872a34108ffffff,122.57210325043685
872a34109ffffff,125.76260252940382
872a3410affffff,61.9645666274408
872a3410bffffff,3.5182904642136803
872a3410cffffff,142.16584540525545
872a3410dffffff,142.02558073102028
872a3410effffff,82.3608596292564
872a34110ffffff,117.63382788223683
872a34111ffffff,136.66125664434009
872a34112ffffff,115.30547535477677
872a34113ffffff,94.40341333723819
872a34114ffffff,127.9314042812609
872a34115ffffff,136.9247346988214
872a34116ffffff,115.40846306158346
872a34118ffffff,136.54597866293787
872a34119ffffff,136.40591199144498
872a3411affffff,136.55886095009217
872a3411bffffff,127.91068078958821
872a3411cffffff,136.6677556881483
872a3411dffffff,129.2406605992146
872a3411effffff,136.6807094143393
872a34120ffffff,130.340791494361
872a34121ffffff,126.62620367365733
872a34122ffffff,142.70090732713987
872a34123ffffff,142.5599568847833
872a34124ffffff,122.59043150011047
872a34125ffffff,119.11745772022113
872a34126ffffff,142.82811295826065
872a34128ffffff,135.09392557259443
872a34129ffffff,133.44418464599917
872a3412affffff,142.29244681163723
872a3412bffffff,142.15199424016723
872a3412cffffff,119.68452777273124
872a3412dffffff,112.2412486937035
872a3412effffff,142.41916137789767
872a34130ffffff,139.1285505734112
872a34131ffffff,141.34853625667049
872a34132ffffff,150.0786521164442
872a34133ffffff,137.04691165225188
872a34134ffffff,142.9832736866922
872a34135ffffff,142.84201287210723
872a34136ffffff,259.03775737213255
872a34140ffffff,0.0
872a34142ffffff,0.0
872a34144ffffff,0.0
872a34145ffffff,0.0
872a34146ffffff,0.0
872a34150ffffff,0.0
872a34151ffffff,0.0
872a34152ffffff,0.0
872a34153ffffff,0.0
872a34154ffffff,16.29279917058053
872a34155ffffff,0.0
872a34156ffffff,0.0069294246177062585
872a34160ffffff,0.0
872a34162ffffff,0.0
872a34163ffffff,0.0
872a34164ffffff,0.0
872a34166ffffff,0.0
872a34170ffffff,25.997274552069186
872a34171ffffff,0.0
872a34172ffffff,74.74253140898165
872a34173ffffff,0.0
872a34174ffffff,96.00739081654689
872a34175ffffff,24.801665422024378
872a34176ffffff,141.99667450879906
872a34180ffffff,408.53424230846633
872a34181ffffff,248.58034944201665
872a34182ffffff,464.52076661501303
872a34183ffffff,413.31380495418637
872a34184ffffff,357.7321273837493
872a34185ffffff,233.88941133107633
872a34186ffffff,357.76468311478055
872a34188ffffff,250.90361975424005
872a34189ffffff,198.44656963747482
872a3418affffff,278.30777314874945
872a3418bffffff,212.46245309441264
872a3418cffffff,138.26931549963263
872a3418dffffff,114.89444969188516
872a3418effffff,278.5565863269254
872a34190ffffff,1009.3369838109558
872a34191ffffff,477.06157098007145
872a34192ffffff,1477.3114583143283
872a34193ffffff,697.263161401321
872a34194ffffff,808.9410204335418
872a34195ffffff,358.55089431559827
872a34196ffffff,1431.434742248361
872a34198ffffff,450.68414428661464
872a34199ffffff,278.33283084146126
872a3419affffff,300.58727270013185
872a3419bffffff,368.26489113767786
872a3419cffffff,480.6030897758786
872a3419dffffff,353.09776185021286
872a3419effffff,460.43493690344985
872a341a0ffffff,477.7713255432228
872a341a1ffffff,115.31623732270592
872a341a2ffffff,358.0521148765968
872a341a3ffffff,214.35422410787794
872a341a4ffffff,622.2561386963469
872a341a5ffffff,122.69798143806672
872a341a6ffffff,362.7978928349722
872a341a8ffffff,115.09977760430176
872a341a9ffffff,123.7090083871417
872a341aaffffff,115.11041952828405
872a341abffffff,114.99706744687177
872a341acffffff,115.20258022126347
872a341adffffff,130.69935884282373
872a341aeffffff,115.21328208582202
872a341b0ffffff,361.2703854170471
872a341b1ffffff,358.08485637309576
872a341b2ffffff,464.60972296405174
872a341b3ffffff,360.57745527448776
872a341b4ffffff,361.1488535234528
872a341b5ffffff,358.40531896275013
872a341b6ffffff,454.6894182969639
872a34400ffffff,206.44453533732064
872a34401ffffff,206.2422824082701
872a34402ffffff,240.81158937043443
872a34403ffffff,268.89122325670377
872a34404ffffff,206.63045104242843
872a34405ffffff,206.42792398911743
872a34406ffffff,206.64700687890567
872a34408ffffff,470.0714397914316
872a34409ffffff,536.8868775745063
872a3440affffff,369.5089698764201
872a3440bffffff,480.2203726449993
872a3440cffffff,407.6752658632304
872a3440dffffff,537.3696509671403
872a3440effffff,272.7289567668359
872a34410ffffff,264.5886871965645
872a34411ffffff,264.32962892502076
872a34412ffffff,193.03134802388774
872a34413ffffff,264.35028282039247
872a34414ffffff,230.60599627721817
872a34415ffffff,241.31844111228787
872a34416ffffff,179.4291532811631
872a34418ffffff,263.8331472564765
872a34419ffffff,328.23042951564196
872a3441affffff,256.9212248930019
872a3441bffffff,320.3855714321659
872a3441cffffff,290.07448242346686
872a3441dffffff,346.99902751708674
872a3441effffff,264.09157570184436
872a34420ffffff,232.4914851361017
872a34421ffffff,763.2804241035387
872a34422ffffff,207.40748202465096
872a34423ffffff,206.6137357556191
872a34424ffffff,634.0611027010752
872a34425ffffff,1509.9177329037109
872a34426ffffff,269.5472403924862
872a34428ffffff,563.7681347246169
872a34429ffffff,620.8999153119962
872a3442affffff,393.4065118634845
872a3442bffffff,537.8528662717628
872a3442cffffff,708.3972094756467
872a3442dffffff,678.4139392033061
872a3442effffff,387.513363624622
872a34430ffffff,207.03616259456828
872a34431ffffff,206.83319716914107
872a34432ffffff,183.91520483201222
872a34433ffffff,206.84969725796807
872a34434ffffff,191.9029431360034
872a34435ffffff,210.9660403571698
872a34436ffffff,92.4122038334975
872a34440ffffff,1053.2023451990087
872a34441ffffff,587.8338220162931
872a34442ffffff,1171.650032367864
872a34443ffffff,1047.9176968664954
872a34444ffffff,928.0878201447279
872a34445ffffff,911.5156418313059
872a34446ffffff,1283.1181993812647
872a34448ffffff,521.301557901161
872a34449ffffff,874.5263271933195
872a3444affffff,521.2834594231298
872a3444bffffff,501.5149594632972
872a3444cffffff,521.7689297858283
872a3444dffffff,806.4798081047818
872a3444effffff,563.9503394727273
872a34450ffffff,474.7922308902488
872a34451ffffff,497.9787610762081
872a34452ffffff,453.61772447622224
872a34453ffffff,453.1740539162256
872a34454ffffff,542.1883216577161
872a34455ffffff,1061.315855943038
872a34456ffffff,495.6774200608876
872a34458ffffff,411.16894264467544
872a34459ffffff,482.5756205374282
872a3445affffff,392.95606855995675
872a3445bffffff,400.9976246868302
872a3445cffffff,488.32367577055413
872a3445dffffff,552.8793847898821
872a3445effffff,433.0737709162879
872a34460ffffff,2136.0895351046606
872a34461ffffff,3325.453521211133
872a34462ffffff,638.68250888338
872a34463ffffff,3703.348963972435
872a34464ffffff,1807.668959699211
