GEOID20,h3_fraction,h3id
230110205001020,0.2025696961431355,852b1a0bfffffff
230110205001020,0.7974303038568654,852b1a73fffffff
230110220003008,0.9999999999999997,852b1a47fffffff
230110104002032,0.9999999999999997,852b1a6bfffffff
230110230011002,1.0000000000000007,852b1a47fffffff
230110104002001,0.9999999999999996,852b1a6bfffffff
230110220002007,0.9999999999999997,852b1a47fffffff
230110155001016,0.9999999999999994,852ba9b7fffffff
230110200003011,1.0000000000000002,852b1a63fffffff
230110110003001,0.9999999999999988,852b1a6ffffffff
230110230021018,0.34925643205584134,852b1a47fffffff
230110230021018,0.6507435679441592,852b1a7bfffffff
230110220003021,1.0000000000000004,852b1a47fffffff
230110220001023,1.0000000000000009,852b1a47fffffff
230099667001011,0.999999999999999,852b184ffffffff
230099664002012,0.9999999999999998,852b1aabfffffff
230099651002062,1.0000000000000004,852b185bfffffff
230299563002007,0.6972627224557536,852b1803fffffff
230299563002007,0.3027372775442474,852b181bfffffff
230110160003025,1.0,852ba9b7fffffff
230110155004032,1.0,852ba9b7fffffff
230099659001000,0.9999999999999999,852b187bfffffff
230099651001210,0.9999999999999994,852b1853fffffff
230099653004004,0.7131041451811146,852b1abbfffffff
230099653004004,0.2868958548188349,852b1a8ffffffff
230099666003016,0.9935480959866069,852b1aaffffffff
230099666003016,0.006451904013389813,852b1bdbfffffff
230099665003052,0.9999999999999997,852b1aaffffffff
230099662002068,0.9999999999999992,852b1bd3fffffff
230299551003282,0.008202509623759405,852b1857fffffff
230299551003282,0.9917974903762258,852b1843fffffff
230110230014005,1.0,852b1a47fffffff
230110120001013,0.9999999999999993,852a34d3fffffff
230099665003004,0.19415254852786232,852b1aa3fffffff
230099665003004,0.8058474514721499,852b1aabfffffff
230099659005062,0.9999999999999998,852b1ab7fffffff
230099666002032,1.0000000000000002,852b1bdbfffffff
230099651001229,1.0000000000000007,852b1843fffffff
230110250012002,0.9999999999999993,852b1a4ffffffff
230110145001014,1.0,852ba9a3fffffff
230099651003010,0.9999999999999988,852b184bfffffff
230099655042008,1.0,852b1ab3fffffff
230099667003009,1.0000000000000004,852b1ab7fffffff
230099659001008,1.0,852b187bfffffff
230299558001022,1.0,852b1893fffffff
230299561002000,0.8060107781706836,852b1813fffffff
230299561002000,0.1939892218293629,852b188bfffffff
230299559001024,0.9999999999999998,852b1c6ffffffff
230099665003047,0.011997563022329296,852b1a33fffffff
230099665003047,0.988002436977688,852b1aaffffffff
230099657002044,1.0,852b187bfffffff
230099661001034,1.0000000000000002,852b186bfffffff
230299559002003,1.0,852b189bfffffff
230299900000007,0.17914378916758905,852b1803fffffff
230299900000007,0.8208562108323887,852b1807fffffff
230110108042009,1.0000000000000009,852a34d3fffffff
230299562003035,1.0000000000000002,852b1813fffffff
230299559003092,0.9999999999999972,852b18d7fffffff
230299551004187,0.3654932557969533,852b1eaffffffff
230299551004187,0.6345067442030419,852b1e33fffffff
230110200001009,1.000000000000001,852b1a73fffffff
230110200001018,0.3891873249654853,852b1a63fffffff
230110200001018,0.6108126750344813,852b1a73fffffff
230159755001017,0.5225919941596153,852b1a6ffffffff
